Relative Time	Process Name	PID	Operation	Path	Result	Detail
00:00:54.6961287	test_exiv2_integration.exe	12564	QueryStandardInformationFile	..\test_exiv2_integration\image_0	SUCCESS	AllocationSize: 4.096, EndOfFile: 460, NumberOfLinks: 1, DeletePending: False, Directory: False
00:00:54.6961432	test_exiv2_integration.exe	12564	CreateFileMapping	..\test_exiv2_integration\image_0	SUCCESS	SyncType: SyncTypeOther
00:00:54.6961625	test_exiv2_integration.exe	12564	FlushBuffersFile	..\test_exiv2_integration\image_0	SUCCESS	
00:00:54.6961888	test_exiv2_integration.exe	12564	WriteFile	..\test_exiv2_integration\image_0	USER MAPPED FILE	Offset: 0, Length: 4.096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal
00:00:54.6962166	test_exiv2_integration.exe	12564	WriteFile	..\test_exiv2_integration\image_0	FILE LOCK CONFLICT	Offset: 0, Length: 4.096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal
00:00:54.7061300	test_exiv2_integration.exe	12564	WriteFile	..\test_exiv2_integration\image_0	FILE LOCK CONFLICT	Offset: 0, Length: 4.096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal
00:00:54.7161397	test_exiv2_integration.exe	12564	WriteFile	..\test_exiv2_integration\image_0	FILE LOCK CONFLICT	Offset: 0, Length: 4.096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal
00:00:54.7261482	test_exiv2_integration.exe	12564	WriteFile	..\test_exiv2_integration\image_0	FILE LOCK CONFLICT	Offset: 0, Length: 4.096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal
00:00:54.7361866	test_exiv2_integration.exe	12564	WriteFile	..\test_exiv2_integration\image_0	FILE LOCK CONFLICT	Offset: 0, Length: 4.096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal
00:00:54.7461329	test_exiv2_integration.exe	12564	WriteFile	..\test_exiv2_integration\image_0	SUCCESS	Offset: 0, Length: 4.096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal
00:00:54.7489785	test_exiv2_integration.exe	12564	QueryDirectory	..\test_exiv2_integration\image_0	SUCCESS	Filter: image_0, 1: image_0
00:00:54.7502789	test_exiv2_integration.exe	12564	CloseFile	..\test_exiv2_integration\image_0	SUCCESS	
